user_id, item_id
22874532,230316995
53629148,230339544
23038853,380118441
122794700,147080459
17878712,193751004
25265512,325675910
96089426,48739806
134556226,368198771
42924297,313486652
111497529,1096765
111497529,165443021
87351617,367188117
11689510,15938884
108030981,133025339
104418174,31250747
54877200,169313989
39280271,70646343
56127169,318516543
46758215,39436817
63802255,357107678
26228110,91239734
94819100,143583349
20401,61826460
8362294,82505194
96934202,105999142
107537238,181943542
59398938,135218868
96581322,274599651
32977820,232051659
44503140,270122701
128266447,238126939
99498597,261365651
104456945,43991645
99472230,277231888
68217968,44699816
35217215,364733559
43396238,120768679
9670219,120540496
33802383,87965800
35717987,184866896
97496187,264753785
22342118,139530910
31309091,336917303
136108072,168890745
98506532,126805175
62909863,267216390
136754847,387796393
67217136,187733828
64194491,232861257
10149605,310871144
13693896,268980256
15408775,234174393
88999753,261798146
108801003,164167964
134297195,48158728
97507318,2527662
10149605,224290448
132927997,347893413
120873,8872848
102020621,401635537
67077817,8068213
81221270,380945501
78161252,295699411
21287960,298714024
55532702,231662399
84809260,355490284
124716557,190755030
39318393,134177685
360451,175155079
121036377,363556841
126501325,107418564
7696156,51126217
95917845,76778977
26330430,76304322
37989479,271721925
36113584,49529424
95221400,171787598
8221196,255332965
132132334,112771428
94710567,206035048
82076649,181675812
5481789,173434837
109179391,199036279
1778994,380737981
98626231,357874394
89417510,150198357
79254037,78848861
29983125,112314132
136478664,160485897
44403635,163018196
56514257,360992815
25793236,353858928
57983419,105132276
33431745,380156736
23228065,86635029
41154503,305368098
62999613,72657068
1376538,94038268
69545007,251405788
118142258,222515171
109642388,167632576
42719621,276621012
125627237,378392550
34424467,38697930
110697285,83172838
85134448,198582684
117517120,114360098
28948171,387797218
60549556,146817966
72501395,377328163
62909863,68728383
10997935,124947900
129811530,291665893
940671,207212108
57502610,67567388
142128951,378719037
11845036,314031900
2764328,226052944
57814006,274369033
25613360,350378844
78354424,349651739
27612624,156912283
84307337,272877022
70898242,205335827
11499417,389200548
83367118,260654391
30701625,276484552
61531163,229439310
115636067,27150107
56514257,129926592
58308741,331531167
99785045,9094599
16847823,19574743
81890271,130084511
62715747,323636508
134512473,347539167
133887741,141977399
19852570,318628047
16426792,267320882
13213333,379469665
92680330,85053390
113186488,369030128
83334493,177299675
28962754,97271549
101991833,145085209
30360670,356057492
62359568,114198939
56514257,102347421
98952869,39698212
13336176,53146519
124183239,394734051
56472082,81945529
27756102,92331958
66983676,255399627
82714464,298757880
25541349,159929091
14804631,44706535
129968745,275233770
29540870,390161863
122473970,343556425
27326941,122924487
118525064,361921934
72638271,179502661
126014360,150395777
109939909,349943778
128080625,297741391
81295365,100642029
48796681,377821388
127539766,113093318
61453950,190064037
141891337,61926530
52610344,242353997
70163788,393786696
82677058,50779215
123278459,5035401
5999606,371206813
104016986,157510298
77861025,149081532
85953088,19582866
137078011,30283076
137078011,68357481
68645886,46375668
111497529,68544650
39763083,302056517
126974880,261495996
9184855,31517138
118625238,284271999
9804081,194982499
71369964,77462407
30701881,56029082
18956456,231985334
84247610,197773519
139659471,284400234
66393587,227589217
139261152,315698295
88999753,244438112
40137551,383927210
119687381,57830283
140763693,370205659
69151720,331852363
10149605,318708900
124167000,292758286
56646633,331629425
75648334,166644127
114995751,127379621
56438429,94969843
72659380,377150226
36416298,111924411
19637792,245538977
64701188,194524080
47016310,214560860
33406584,249165713
71126415,211991508
130766413,401102498
75170299,273726149
68563462,294436761
102115259,45020207
39515749,74629964
55882028,379332993
39427521,333895823
84247610,148329764
62073731,208995095
1187238,297708461
34424883,21205106
78574430,260955676
73433921,3907222
56485225,63825898
46978329,394507358
4210789,142572593
25224971,165183955
69151720,203853355
56646633,264771187
141976720,168005526
126665202,280514911
64482252,127724639
56127169,126082514
33406584,235276976
92680330,288105037
114656315,121945481
95917845,163783934
139277928,57607561
69255224,279723376
13943503,7052882
126669454,40306418
23908364,150685479
49512453,169839163
87823047,282656909
86017186,229905041
48862784,343393322
88999753,75505711
59127538,265430986
