userid,itemid
100509623,308435187
103891828,98292282
133933227,122165458
118986002,241123666
132397628,354215817
134097431,73985973
134097431,211365655
17883538,312797921
40456641,147241113
86369786,367201373
96610296,80896651
96610296,361420633
52610714,23047895
73676533,100394114
24808643,183830552
29685853,239215586
37008188,267877015
112424443,254880802
1439794,162306541
40163921,182393614
79269988,301027481
137531842,314041390
72358271,306977553
72358271,280546752
77455354,304000718
78068981,221918351
82996925,400100816
103149203,150429306
103947735,243592400
89327430,354525367
83600056,141707258
81182608,386416684
35896466,342417024
35896466,166009913
93262868,130157917
84263296,124684050
1160607,76612477
1160607,189200543
92892459,158948353
22393155,128448503
16851866,12265214
31727427,70000484
96892229,241609537
122421140,315415227
99529968,229773257
97795315,376665433
34320306,137013422
108786121,193939355
121148622,387691642
127668936,356497535
126215864,353609364
131785898,237940704
131785898,62459512
111276571,324396806
110043519,64422721
119759842,107149945
48123195,166385385
48123195,193416319
27625670,100598790
27625670,235025133
121639491,1985358
57773119,115705909
66819420,46809939
116223148,287420222
116223148,367439544
115783585,154440791
18728199,269061280
26562102,112318142
10887844,343413817
100121842,384464226
100397503,286120430
12297890,399544463
12297890,339815415
123542262,234902813
14577083,275347147
29226661,395003118
137344822,133195728
81608134,56609103
105744471,286622785
105744471,140754325
68735466,203977679
137270307,100989804
55639966,86842263
55639966,69553288
55639966,12631076
104298835,327514936
47888992,91822397
56676769,179384537
37447725,387858896
31850208,333898392
31850208,313667721
56676769,136327562
97512117,259020982
114802994,100913547
75533954,243731907
501286,4790361
501286,169540009
59241675,155387042
114971408,138111309
114971408,211045116
103673316,326079130
1825186,93102389
22278371,347713410
46661935,144699840
25128484,245145987
25688135,61552710
135171817,345811769
31433604,159066067
95898771,32715647
102366872,286072063
81567660,38662930
16017921,66866742
100231383,38280294
87980818,359065955
62581364,285837764
25166903,77483891
54771046,217013971
54771046,249618450
83954147,249390797
129157768,250961135
129157768,67759302
8231529,197213526
69347492,165447282
84560829,349999306
18244844,245307900
97390150,51908852
101899044,106656844
120930204,305089650
85558599,325636713
81904568,345952213
31986029,102509519
17362237,352726755
54922233,332621848
26920547,364427683
54922233,189283092
101719830,6975016
128719503,290115670
138720115,83180600
22444189,389369791
109382445,401536689
38968550,386505771
117863267,43602271
141226151,231859995
90144052,290654683
19373594,388644215
1498131,305149836
19723169,373202189
133157830,316555195
124291848,374214353
124291848,303205878
50777514,356107664
116852827,380667959
116852827,117591263
110007607,175100369
118310551,119776532
104804964,4577627
32145882,325506353
11310078,137640502
134473908,391865526
87466107,104163726
126498936,388848584
60575815,205182264
96352312,84814535
742065,200158570
74142122,176582317
41564229,77537420
95064712,335416993
28085061,276631516
25173367,263630818
80945120,225792198
85057275,341107371
138635225,101520141
88503688,330583342
117547978,75741952
59567091,43824312
64207025,1273828
49452583,43824556
20307844,243876005
55889877,360262453
83055904,349051058
67849399,327419411
97181356,207153004
28226509,252311467
80264762,315816035
100509623,100583549
114147733,86059649
250843,135385545
57033180,261548773
66566059,191250655
95002467,393357080
68052246,295275199
124382480,97325653
54922233,389411357
91301440,327927420
96524948,43793159
1439794,73459394
62042013,164600070
65143114,274127582
127429787,73673397
59178238,121045554
128519267,74061024
14735918,198877686
86369786,42611781
78129838,367366457
78692954,263092540
1160607,312296652
96352312,364687387
103585097,139302549
124107376,309195996
111527414,310680432
5307517,180108806
60559051,45704675
