userid,itemid
106230218,238910858
77443046,247116967
77443046,329118091
9299440,150027911
37008188,56211103
97553714,191045906
97553714,22146926
78992546,340767004
42210592,360405474
15688979,250053499
45081001,93593531
17117517,345923024
115670233,138393674
62007671,293632929
78202306,140110022
78202306,164284569
42636726,246525281
117961527,331422692
108378461,186125673
35967863,15138872
87998227,266852018
21465106,118319573
21465106,149741040
43855246,254061804
60330578,398850626
98720463,257318311
137068806,283204031
18288442,195838249
21905234,321348884
56265199,300529446
22082857,210423900
55889877,198292381
82169054,242356201
7391440,362449412
49610523,153208454
43622802,326956726
3482403,83911036
21465106,122906174
8581353,48634833
93675262,76521360
93675262,301850724
9299440,27572399
22422703,128987937
30764977,358475671
79690063,345122907
44580650,390232790
100078685,297313341
76917566,34365209
1769128,198488816
77443046,142260449
77443046,139801806
71721640,187829804
91451574,366934222
98609754,81104825
98609754,360837165
76910457,115842631
28415553,33709165
36233277,50500779
117003325,276848383
29020561,322957624
12570225,42515793
109891166,254480035
17117517,276938660
115670233,376072349
101050024,86865172
138737144,217727719
105603256,49128895
50347397,275742465
136506198,301944409
118635428,130237505
115757977,374704940
21465106,160397370
21465106,93248332
70503301,251937854
45659906,172578544
119990802,68263997
123562447,216476401
85497599,165379573
85578027,72622742
17117517,231274877
36912686,234139947
22082857,356848905
98609754,372276216
109891166,37749644
116731919,145109696
76910457,356601285
93890776,85794087
60535085,64879980
103704577,85631883
45079225,162134998
43735631,666357
82169054,142015520
139590290,12710228
11313328,127676643
61754447,85775281
52842050,116618448
13444072,398229971
43622802,314156528
43622802,207134854
135589495,168938228
114008857,169418726
8679255,250950972
97553714,300991619
11106706,303205878
22555846,90840123
107066825,102175703
29160893,201506051
95293046,122538348
9299440,226130185
135858331,195624962
77443046,288471311
66924694,252402893
32438624,75623357
32438624,392504120
96412786,396991745
120305341,34403842
18375619,140100809
117003325,245797513
20686051,208510517
115636067,357490575
95448497,188382046
95448497,73423731
68428732,382165204
107301929,157378005
22555846,199051298
22555846,139510153
22555846,94250440
122169205,72301300
103704577,350421786
124959202,401471599
11197151,266100174
32438624,11873369
94428036,272934493
122679643,17795310
122679643,346150544
91829241,137940040
91829241,358257287
