userid,itemid
117659143,320160380
43622802,190564824
75149023,21960427
43052420,348683639
120142224,307234403
101798575,152474707
41798966,64126140
88972430,348234143
116399303,347071828
31816906,9834347
67743134,57598096
67743134,37879316
67743134,248225970
1897583,203049729
129226331,382032924
15924838,331545234
136108072,126179641
136108072,30046536
83929585,231135991
11141921,387645074
110033398,167074648
100012968,135726626
52042648,227887943
17979588,264893244
10770527,108080138
78537035,139062969
2745737,265860266
96509906,142015520
113250631,8591377
109689227,384231827
81586383,246586080
85633095,72575036
12833799,404069804
58188922,71788839
77339861,195526890
138505346,272981924
1022699,391479814
73288489,102368482
9310791,255624651
66395027,243007472
135060562,326429082
135060562,262062630
58008140,266365698
70978759,208779453
23757860,164621998
43052420,295190565
5287432,172674398
113134393,225806051
58008140,284622874
88967877,107801609
8499885,301573522
85633095,203143066
86103367,206011823
59698667,235932685
141906479,224650711
29326716,192204361
129333920,334760775
80680284,114058583
88972430,255746873
88972430,41642846
100326985,36380715
10770527,95867699
112044266,400405447
77963009,115229389
8679255,315829454
31816906,270576488
116399303,230562063
46313814,139377049
46486820,95734368
138505346,189370837
20782693,340804993
88753779,249411132
22182160,210877057
67743134,29716915
67743134,206711995
67743134,249284604
67743134,61535141
22125304,234669207
132469710,272245775
110285639,184930961
49815803,61937041
25544044,376753097
44446177,80233719
20824894,18107712
92020173,12989364
140944295,167694796
127336259,220315473
138505346,263113864
138505346,288203501
138505346,253350133
132039263,28241579
131997583,346925100
59698667,48002672
135731834,40811320
92020173,159948099
93383888,93308286
140944295,38967461
130041655,351092223
11141921,208925686
10705215,123718814
76049101,391787274
117992339,403794398
105346865,246613415
81901472,107894560
63848985,91041611
109772113,230077237
101828853,142071302
83346211,192849195
132469710,295994892
119680979,381607428
119680979,5323710
105770829,118315917
43052420,272302984
10770527,166590738
78537035,23046976
135454126,305215342
9092898,24654949
9092898,167263387
73407945,37164587
109689227,341732395
136108072,94944979
22182160,68605973
120305341,164144259
120305341,58579268
98827905,3403136
48793683,195315311
41798966,326981308
133744457,252902059
18244844,177564432
87056353,149668502
55141244,324245394
4195964,125286869
83531230,299739646
65667723,64350895
77339861,148751634
75167088,271633999
98827905,251124746
60112819,173022767
141603737,294674252
62355811,289343653
21904099,363710908
136108072,335210312
136108072,345093918
133744457,92466373
67743134,226728295
97293816,263903996
83424956,142933311
133271218,103358005
88079688,98823299
113830171,332943035
117523208,12759902
49893764,64425026
93383888,61746933
56892801,164006955
48793683,234166289
17336370,59261058
8499885,210065739
22600224,388181514
100896290,152474707
82449509,383095734
8217647,14136232
41798966,398772583
127521344,138635555
115374248,382104150
97126088,95867699
117992339,261606003
46313814,67959095
80699349,207224465
90980691,64422721
134217738,355434012
85633095,6040198
125871904,172791592
141906479,121509726
46313814,10478777
90291184,377408757
88972430,259262564
113830171,324483547
135060562,276171691
12039328,129881711
136108072,337487803
110664771,399116186
1825186,41463154
1022699,95170688
98245656,176743441
88079688,61380607
48236976,286410858
