userid,itemid
34202353,384887852
45824154,34172528
18913329,328782987
100690180,290753333
100690180,383535045
82187286,81029865
128396032,101610174
116059925,210028911
92067434,389283746
54214799,300159422
59797150,386161087
33448326,23065197
33448326,13641122
62699395,267948456
72633796,307617535
82756067,99241669
493013,145985636
87234675,9819823
59698667,85729855
69285521,386599411
45773960,363355953
97122756,20969468
39675115,318694372
13824734,332583979
95725967,350749395
95725967,125551902
72651215,4375234
18452620,147032127
85578027,26160410
44130547,27179121
8581353,387109063
125255404,94400572
135455673,165561291
83423107,344796091
110483148,40783009
127316852,128874200
100690180,148623227
38711762,42025969
72651215,182479655
72651215,232877162
53416987,310808744
116383415,303174813
33050706,230214333
3166978,916017
39675115,374214353
78794958,121592590
96509906,49751791
127316852,382358582
493013,256575500
67202688,332350526
17757827,238910591
8052951,187750328
8052951,281122743
8052951,141326166
8052951,183023009
98607707,277831725
8679255,191657945
134806923,307428693
99199943,214033234
95725967,17477005
45773960,176068018
43624984,182918215
96168958,378349791
96168958,115780743
11197151,258934951
95407138,18125442
93349361,390469120
9087115,364382175
136482450,293491718
82926163,196516706
3671315,275118760
110201893,129381369
95948031,359916772
51597514,259013587
106416249,163404359
5950556,46355760
24690079,96242348
85081309,218776687
65013453,354098170
128161862,150964891
12884654,116178826
12884654,268971347
11904220,369875217
128929741,394879919
72651215,286339418
33448326,299185697
127698085,38527790
75321867,73517779
57843315,131129520
81925863,167074648
87820307,367227874
22717072,343332483
125255404,66365423
116601750,352698266
78324634,226326554
98607707,177273789
47679514,146589535
87269189,29034996
76398803,124370395
91823027,62556333
59318036,291519708
51597514,19588970
7766678,184439581
74270354,382200334
135667654,149882792
48099335,388002032
110201893,6618184
33448326,390959979
33448326,83450826
93349361,302073105
62603897,144220345
122990070,222346650
120305341,325005628
1022699,349051058
13565343,27910051
13565343,313732097
136482450,99064172
136482450,256659543
10765825,130095802
7391440,199289697
21743048,265304122
62007671,293632929
81925863,243701655
127316852,117837167
93850991,346083904
3304327,384330474
39576434,319023424
95948031,247087651
25477392,199726416
106090167,223703492
73428459,358097620
100690180,352423789
53476899,301934417
131787268,105857507
86616463,171846131
8052951,102147465
493013,312718970
493013,189297495
39675115,132412851
96509906,314830008
118693328,358603868
38638142,183313945
17757827,295063463
13824734,224072317
68284108,188734206
8052951,240202390
98607707,162777051
98607707,382489422
135455673,170884361
135455673,124666497
124052343,29857043
127698085,397871193
493013,172948229
45824154,51126213
33448326,381747656
22076896,131430162
28975138,369875217
3671315,187103828
111497529,103397573
2131753,198370594
93428377,248587996
66588610,126477733
51940848,284555480
135667654,148649428
22040312,361650227
95725967,305378919
91824018,90994886
13948161,163262889
40798219,90074271
76398803,74977824
82926163,197905724
110423160,150529296
53245132,323598461
3714513,127342263
13824734,75560580
62740391,70966759
105836892,300930741
17340020,360366296
97933481,204448835
60890401,129517495
90378059,177381998
85081309,159325349
135455673,47609691
69678635,155901943
108728269,31539714
140735769,244459755
109639486,147032127
100230080,307754466
70978759,396291112
70978759,274527451
43624984,342278512
82996925,382216868
51503232,265313805
18288442,106696251
85578027,287172448
85578027,94402282
11917811,22180238
110423160,353393901
139637127,94796025
90378059,176182669
63588363,275327771
140759237,80446342
72651215,375911558
87234675,396732191
72651215,21119852
106090167,294141860
493013,168005723
117659143,283520499
118402025,92117314
11904220,304772604
116123751,391533589
92241160,400585153
36250912,152349109
48920955,398515248
140774910,264951212
29878513,167074648
10706095,331331122
60498346,78848219
96168958,334031502
18883390,111921087
48099335,120999924
49935957,11798455
98720463,111159845
26194174,32471407
136652360,272037272
87820307,153170640
108331566,258329597
109639486,169394355
45824154,138078699
93850991,117439664
98607707,11022469
103548522,329521957
31717348,30984300
140869856,233000613
135667654,294590581
72651215,110804523
72651215,258615646
126094939,212182066
493013,268328006
125220499,259013587
125220499,312636757
21743048,311119124
44154986,327703870
124093640,20523497
99877834,239300087
122081386,307265180
52072237,238149845
11595413,185659526
77130692,266060797
106645011,142015520
8052951,260764782
84480844,194055179
107209058,36966787
29838929,138952976
110483148,360500162
13824734,318250310
86616463,285250693
40164889,57080811
93349361,280135635
82838416,135896452
119122882,344344888
43624984,369859874
83279248,12227282
120305341,232430718
78571658,239815256
123588093,200377009
74492481,88765031
8679255,232047279
130313708,188667499
13565343,69908064
493013,39767854
493013,103197397
83753093,375254201
67202688,16322108
123257288,342382100
68381564,115925145
124052343,70101333
110201893,49676676
87820307,24385872
60890401,395809099
8052951,62400988
28867140,182163626
4231989,230214333
93867217,104202558
103065950,49516621
110483148,95706809
1806084,357720886
32699108,11661752
44154986,136808636
118539630,47950111
93349361,381549315
45773960,14990310
139637127,392976022
60320022,184876013
68193194,81256751
102499292,353924995
3190957,391777162
124563826,222566218
36751669,308288574
98607707,401818075
126925524,404450236
135455673,75754849
135455673,337360087
72651215,8250571
67865490,208812389
95407138,106210331
68597206,206248940
247543,289772849
100690180,399712076
62042013,387913245
51689371,303507519
59797150,308538481
72023066,241917248
3714513,38983117
66331755,294481478
819192,47570467
107034437,274112357
