userid,itemid
103898055,310599523
123006863,295162171
107109917,387819120
136302349,7578577
35264701,307062641
21904099,362467033
21904099,291366225
55257797,16322108
55257797,262018051
136482450,123770620
116509312,157328016
91087067,15774744
78314284,34214530
129011195,158634799
129011195,216726895
79678094,315867567
55305887,152632493
79403111,86769979
114802994,265568507
3192805,98464902
102996286,64492779
56444539,73756994
104611414,16947700
12210870,404082497
119680979,90037999
6997005,260693968
2952532,122995197
30552706,16166274
28351817,151676454
96317471,156079162
129814737,385851172
118460273,325439898
1022699,247632608
1022699,173391172
104613070,80233719
9310791,355434012
125255404,22706867
83275852,310925651
95407138,215783560
128867621,264469913
71712016,275371964
71712016,273670734
70978759,259951072
10705215,41964522
71201867,272189701
29511444,147358654
61948623,200230898
92658788,232655414
63960502,371558027
93834577,11564664
93834577,141325205
93834577,375086491
40459733,34184688
77801990,355484441
123867870,280147993
84423663,393488082
6997005,117140200
483640,75339915
1022699,82042015
21904099,303498533
190327,391530338
190327,203376108
34403746,67920489
7366396,188651691
8382449,307124147
8382449,205896984
115757977,174199804
116918377,322252418
55305887,316201408
61472535,177788899
91623653,256702495
91623653,344449906
123006863,249883316
8679255,107523422
118056913,357303370
87466107,309080032
132347980,276764689
57981025,334485827
114115623,293412521
23687099,335051115
38219792,107148130
51771947,306926398
77813021,148121114
121006999,227300762
136482450,397958077
105919960,237160675
85004126,64927663
128719503,259814847
108087298,184899275
108087298,78512331
77339861,243780107
77339861,306217340
129226331,353641866
30915717,3238574
125493701,380126959
17312843,32128001
135934881,114650076
117196810,161705551
116509312,277370171
124196795,187405847
34578527,231685444
66819472,269976923
123006863,42179806
17312843,25273904
92020173,289403681
103728744,4910820
88290400,21070039
28351817,357937223
28351817,334196269
51771947,140753823
77339861,155479498
77339861,245270832
76732078,206202305
110666558,132319743
18781926,136567860
82734120,105208301
55055762,290280023
79844578,215087882
109257851,283789222
68187441,357104534
75301293,404316676
71671024,252371770
20487789,237989344
8679255,233186598
128719503,48141888
129011195,375318500
126104947,200946824
33517755,244439847
34611680,160561265
91623653,157245379
34301104,222541898
1160607,10317689
50823792,289454952
45921788,325689733
1022699,330900915
21904099,158181791
139756567,258103212
51597514,55074893
3569244,213430168
66293783,2834708
91162737,185126108
32303536,168373095
103728744,274404688
135455673,224263910
132347980,278805302
94334641,226338687
29420856,243189648
137538791,177212089
140502795,312437670
21904099,157995256
7956207,149741040
9601609,7320283
123237592,352170435
17037975,390752204
67743134,91279544
40459733,396114185
128519267,158709848
55055762,137393295
92454730,184692415
8679255,97457569
23873275,166285410
44580650,268671152
105919960,352383048
91623653,372800325
91623653,23295236
1857066,282225205
137443248,175957535
140759237,359397344
45133531,403885071
113619626,140098198
51771947,338697756
74056904,84708661
54459439,134625812
33687452,192292958
101899044,285364607
69255232,24589958
42461054,272132812
113619626,127963488
62043708,25810944
8679255,75567489
103856044,237749125
68359578,259628186
126327630,53870312
92628131,279697865
129011195,155201524
51597514,378417738
51597514,18165654
51597514,143249228
6997005,146684536
1022699,295603412
1022699,128182796
76732078,324720062
9601609,239255917
104298835,105487115
42227520,218415196
123006863,14432577
123006863,50255456
117606829,148496103
1857066,331968231
136952642,402058472
8382449,195704629
3192805,262478133
39619583,135918115
75301293,246608802
103728744,75469956
103728744,34895521
112342350,278255943
17037975,307792517
105788199,390181058
124755978,299747258
63729308,340804993
41774315,205635060
33816024,156873275
47237907,21279485
101534361,43873637
91623653,279445233
32435644,382762380
78129838,13669315
77339861,316737761
50823792,374999864
54459439,131904115
65683052,368433575
41774315,322559305
4286657,402456501
82926163,55066354
123006863,264859944
123006863,161988639
55305887,58737141
103728744,124435157
112747871,261076020
8679255,835814
100650188,22677570
140869856,169874612
11589162,238644541
89320958,330810145
3192805,378219198
71712016,301371116
71712016,77798845
107882320,10237913
94334641,163115786
108087298,144432193
91623653,250372723
91623653,209531395
112747800,13547897
76732078,393589042
89384841,273516989
140759237,120875353
87895521,106217854
7366396,268544880
63281686,178897787
55257797,95875607
95407138,395690192
140502795,308490000
96317471,353754783
96317471,220374025
140679789,155375638
13538176,49347948
133306897,57616139
82926163,230377919
12322077,244872239
48862112,46480880
36936257,206985142
140759237,299851899
123006863,170291044
123006863,52100724
91623653,390181058
51771947,62835782
33687452,119289022
123867870,66792685
6303684,6594824
104135842,70624417
135455673,18300968
20264430,76915588
25211339,208580106
55305887,3982150
91162737,248766313
21904099,20330964
34477360,161366675
5020210,126345782
1022699,49387068
80421496,365918768
51771947,334298332
77339861,212079589
77339861,333456469
129011195,178577709
96524948,43793159
122372687,298893602
96317471,374220582
129814737,307548515
41261027,303888087
119680979,348018124
17387185,248727990
8382449,31048962
139891563,182333379
139891563,296372549
56528086,36351033
119783832,41278798
140502795,318207592
126596574,55524865
65180528,1362772
130876256,275221686
92628131,394793737
97595347,230056502
51597514,374182114
119732530,140146797
22125304,92485823
123006863,95037750
79603001,109536190
103856044,314903844
82926163,144432193
139891563,78666403
116918377,345723636
9797520,101276445
95407138,28023094
95407138,346266263
57857118,55925452
65667723,237006824
78045043,353924995
24903079,334595940
135455673,19756802
127760767,380908974
54459439,391778329
6997005,364610809
1857066,199691188
1857066,371221966
57062999,9770787
56528086,349051058
56528086,230558745
16740912,122872480
89384841,6275391
138524216,51235753
55305887,311784379
71582654,208720426
128613595,197486316
66801315,130651071
1022699,101215726
483640,156734385
134479240,319099746
45921788,14480407
110666558,225604253
91623653,104883287
5686843,385070939
10705215,241778489
95471305,323045053
114802994,382346246
7612152,21752519
9797520,378328681
30368071,232171543
98133460,275842414
25211339,393187849
51771947,246907818
6997005,353892706
119732530,143880912
135455673,374999864
95237027,215930645
95237027,401495
79927411,157617756
60203830,161366675
6375695,59857398
3577313,172859548
3577313,78883779
38223900,364382175
135934881,196038031
137585300,345276360
71369964,374077149
71369964,335599945
51597514,79458119
25477392,14136232
61948623,25474298
